Date,truth,pred
2019-10-27,49.51,48.98157492867902
2019-10-28,84.86,79.63869011506293
2019-10-29,18.79,25.24130564656354
2019-10-30,100.41,113.39646634260694
2019-10-31,17.99,16.628940466528356
2019-11-01,104.24,108.69280376435015
2019-11-02,21.9,207.7167549655327
2019-11-03,11.78,21.178157782078948
2019-11-04,65.69,75.38417917723692
2019-11-05,23.45,24.614392407784997
2019-11-06,96.15,102.84465832233903
2019-11-07,10.8,8.781680183146229
2019-11-08,74.81,90.83357530732277
2019-11-09,69.01,84.87542293954482
2019-11-10,108.07,109.99064638916667
2019-11-11,22.94,24.17696790535397
2019-11-12,31.67,26.125434489401414
2019-11-13,19.41,24.057951294297943
2019-11-14,55.61,49.28308952247914
2019-11-15,59.88,53.14811278317446
2019-11-16,149.21,129.59904537867902
2019-11-17,18.86,38.72906708815683
2019-11-18,34.04,42.997342623467055
2019-11-19,37.17,42.22602045310109
2019-11-20,103.18,116.81034534202027
2019-11-21,210.84,199.22462496590586
2019-11-22,16.03,11.964338582978328
2019-11-23,26.74,21.362246576071108
2019-11-24,68.87,70.68488213230793
2019-11-25,24.75,21.30749678681609
2019-11-26,916.67,167.03580818099152
2019-11-27,111.05,116.84659845707074
2019-11-28,20.94,35.58552418575151
2019-11-29,149.32,140.18909185431792
2019-11-30,32.15,37.75117625582127
2019-12-01,66.63,88.53518693570629
2019-12-02,21.98,25.85305742957027
2019-12-03,79.69,98.82586216915433
2019-12-04,78.7,44.33464398058833
2019-12-05,59.08,26.521048596635502
2019-12-06,45.33,46.00577973718982
2019-12-07,41.11,57.892207932716154
2019-12-08,12.18,13.14595622472931
2019-12-09,123.8,114.24329076010807
2019-12-10,37.7,44.55843513560161
2019-12-11,50.82,64.68097378764836
2019-12-12,122.34,116.63308529457944
2019-12-13,63.29,61.0081174264381
2019-12-14,12.87,9.997092516128042
2019-12-15,73.44,83.25785577217584
2019-12-16,22.61,17.638601289260592
2019-12-17,19.79,32.045638283775176
2019-12-18,51.3,49.51113420676892
2019-12-19,60.17,43.88315519658168
2019-12-20,12.52,16.641729075987435
2019-12-21,47.43,47.15320855568066
2019-12-22,77.08,70.03476244008763
2019-12-23,87.16,64.57252392017946
2019-12-24,57.99,54.23090139798382
2019-12-25,58.31,57.66133541053977
2019-12-26,19.01,16.371886485884374
2019-12-27,151.99,144.3798169515536
2019-12-28,59.27,18.620844156972765
2019-12-29,51.29,53.08416104983433
2019-12-30,116.75,119.12187000615279
2019-12-31,66.5,63.32250529224094
2020-01-01,24.49,30.20400086079379
2020-01-02,20.83,23.618114794924843
2020-01-03,81.92,62.727921961468915
2020-01-04,176.67,187.59284431560025
2020-01-05,58.98,66.50778193632533
2020-01-06,33.51,41.36603665351977
2020-01-07,10.63,43.11034181833662
2020-01-08,17.61,20.878118253396224
2020-01-09,23.36,25.95451749763084
2020-01-10,24.52,33.935187261534416
2020-01-11,83.66,106.26995275841179
2020-01-12,165.55,169.38720722687208
2020-01-13,88.81,94.45738856983283
2020-01-14,25.13,-1.888601287761773
2020-01-15,25.53,36.05433050567989
2020-01-16,59.28,23.364876741527276
2020-01-17,135.44,126.27901532565991
2020-01-18,25.78,37.24906106691461
2020-01-19,118.05,117.5217034426745
2020-01-20,105.95,99.50292456472218
2020-01-21,33.4,25.677812778201222
2020-01-22,34.57,81.88032958671911
2020-01-23,26.75,19.464265320948954
2020-01-24,38.98,59.72739699404472
2020-01-25,131.83,124.75378985095702
2020-01-26,21.38,20.63113233621327
2020-01-29,12.9,9.22758620716807
2020-01-30,85.8,76.99032529058323
2020-01-31,19.4,12.902458323916846
2020-02-01,58.74,37.63970964144772
2020-02-02,76.67,60.624742472523245
2020-02-03,105.13,97.86213942444343
2020-02-04,131.69,121.00879122081622
2020-02-05,12.02,24.08601235625263
2020-02-06,32.5,28.512367998210706
2020-02-07,24.0,23.439736734346255
2020-02-08,19.97,19.475505828579806
2020-02-09,45.98,57.48831969757733
2020-02-10,79.19,32.4085702167451
2020-02-11,22.78,28.260800352084352
2020-02-12,112.56,107.74322310765052
2020-02-13,23.06,23.827400247806324
2020-02-14,93.22,88.6826877718423
2020-02-15,23.15,20.712053295536506
2020-02-16,96.93,90.9818781499645
2020-02-17,203.07,183.28032083930273
2020-02-18,25.6,24.288702394255864
2020-02-19,28.15,33.03437248103398
2020-02-20,18.92,80.21143447760195
2020-02-21,95.07,86.27727837457363
2020-02-22,9.98,6.066511775803633
2020-02-23,192.26,184.76982949537003
2020-02-24,133.0,125.94679086277785
2020-02-25,101.34,96.69053992359076
2020-02-26,140.21,131.1354843437745
2020-02-27,21.41,32.260314724743424
2020-02-28,41.46,39.69867728278764
2020-02-29,18.8,22.568415913609122
2020-03-01,130.68,121.11414273584856
2020-03-02,25.33,21.393446450199924
2020-03-03,23.66,26.111764717648292
2020-03-04,121.98,119.14485063257302
2020-03-05,25.51,22.542676495658625
2020-03-06,89.55,97.69443482502422
2020-03-07,26.5,22.635310395168794
2020-03-08,139.27,140.9316790690226
2020-03-09,25.11,19.369492026046956
2020-03-10,51.01,43.26942085373805
2020-03-11,183.04,163.5970557638536
2020-03-12,62.0,70.7495399076941
2020-03-13,21.29,29.987122134411685
2020-03-14,43.79,51.61723678325723
2020-03-15,26.94,25.086206077826645
2020-03-16,83.44,77.74178823242966
2020-03-17,51.4,48.79081553795273
2020-03-18,139.07,135.85396408082963
2020-03-19,73.33,63.95531835858842
2020-03-20,25.38,23.592287857745376
2020-03-21,18.06,37.131984403378766
2020-03-22,18.44,14.416252452609726
