Date,truth,pred
2019-10-09,55.44,49.589820444846154
2019-10-10,17.2,17.331077280455336
2019-10-11,35.5,36.04691360400669
2019-10-12,36.48,33.52299890721193
2019-10-13,37.73,38.67075320107308
2019-10-14,19.25,20.347585023131213
2019-10-15,14.62,17.485902471475914
2019-10-16,52.45,45.59354062540673
2019-10-17,42.24,42.37895693299755
2019-10-18,28.19,34.695334702929316
2019-10-19,11.52,14.716866895200571
2019-10-20,20.57,22.430899443917664
2019-10-21,14.18,16.1304314171044
2019-10-22,33.18,29.643009109275265
2019-10-23,25.98,22.620211788601654
2019-10-24,26.19,26.075350894412225
2019-10-25,23.53,20.057790314267567
2019-10-26,29.47,31.452888753646125
2019-10-27,12.11,10.42665147135591
2019-10-28,31.97,36.92310515428636
2019-10-29,30.38,32.781717353196456
2019-10-30,25.52,27.60614528820081
2019-10-31,52.93,50.70950527136783
2019-11-01,26.24,22.56753089777983
2019-11-02,8.99,9.572900109869149
2019-11-03,37.3,38.66882531722703
2019-11-04,12.12,13.15022140301038
2019-11-05,16.17,16.16592699965404
2019-11-06,27.97,25.557067833821815
2019-11-07,33.68,43.54501465646645
2019-11-08,32.48,28.460491250840732
2019-11-09,40.82,45.73109622987704
2019-11-10,35.43,34.45169908997548
2019-11-11,30.91,30.14192518812663
2019-11-12,36.99,36.336121902361015
2019-11-13,33.08,32.93699466281612
2019-11-14,28.58,35.52829342089933
2019-11-15,34.0,29.29562698007089
2019-11-16,35.34,35.756219574358795
2019-11-17,32.66,33.558594467873235
2019-11-18,61.83,52.128747330043325
2019-11-19,13.91,17.0624933337257
2019-11-20,23.15,22.221990509683852
2019-11-21,52.48,48.455921569381246
2019-11-22,23.94,27.495542228278214
2019-11-23,25.21,29.400327004445828
2019-11-24,33.16,31.91741169046453
2019-11-25,30.56,29.09199150303559
2019-11-26,23.94,21.823385331061903
2019-11-27,25.27,21.92333283354148
2019-11-28,42.52,42.39023443411001
2019-11-29,23.39,20.156766914893957
2019-11-30,18.46,18.138413070351767
2019-12-01,38.17,38.307328412356966
2019-12-02,24.58,20.201010492024903
2019-12-03,22.24,21.077819111351435
2019-12-04,7.62,13.445014126297206
2019-12-05,27.83,29.04010552791993
2019-12-06,42.15,38.470025284663336
2019-12-07,37.97,34.76869680380166
2019-12-08,18.36,19.89011603195924
2019-12-09,24.05,22.78507113177049
2019-12-10,28.38,25.02208936167896
2019-12-11,63.1,57.80084900612286
2019-12-19,24.39,24.854909416338725
2019-12-20,35.75,35.65684405865676
2019-12-21,26.73,32.36728611632002
2019-12-23,32.92,35.717388441657604
2019-12-25,37.35,31.942600694277818
2019-12-26,30.55,29.512333231096978
2019-12-27,40.11,42.0884054995301
2019-12-28,45.86,44.312400922681434
2019-12-29,21.19,14.506998368974788
2019-12-30,20.2,26.358182032762855
2019-12-31,20.96,18.836794652954726
2020-01-01,17.83,18.384438443405323
2020-01-02,35.78,52.87602214359133
2020-01-03,22.45,24.69695854749641
2020-01-04,18.46,26.23554633366501
2020-01-05,14.62,18.98122449115264
2020-01-06,38.46,31.861379025800925
2020-01-07,39.31,41.866261800317744
2020-01-08,24.54,25.00362361405298
2020-01-20,17.98,16.98763358178837
2020-01-21,26.5,25.385469202113626
2020-01-22,29.92,34.577322793491874
2020-01-23,43.18,38.34987504882564
2020-01-24,17.27,15.834983194928935
2020-01-29,36.5,37.661466440702696
2020-01-31,34.26,48.58906645113652
2020-02-01,24.66,23.27094836613582
2020-02-02,27.31,25.0152892984032
2020-02-03,45.36,46.22209238706817
2020-02-06,28.17,69.34439127975166
2020-02-07,30.04,26.49906486055286
2020-02-11,32.66,30.990263186105718
2020-02-12,34.66,17.751462053830913
2020-02-20,31.25,35.990389133740976
2020-02-21,14.83,18.538956703034263
2020-03-13,36.58,45.25635359308801
2020-03-16,23.68,29.20426243441055
2020-03-17,18.33,18.80184673365784
2020-04-09,10.99,14.404069168831686
2020-04-10,50.37,55.8261805834495
2020-04-25,37.65,40.55625629943022
2020-04-26,11.63,16.196994745528436
2020-05-02,26.58,28.1263979023959
2020-05-09,21.96,24.908806623625154
