Date,truth,pred
2020-02-14,69.8,68.66325282439561
2020-02-15,15.62,16.790054765736564
2020-02-16,16.71,18.467999473513718
2020-02-17,12.35,16.9960734622489
2020-02-18,15.77,22.804470731268296
2020-02-19,10.05,11.89727754443594
2020-02-20,35.55,30.34545873417149
2020-02-21,46.57,66.37092701521144
2020-02-22,54.47,54.036405391928604
2020-02-23,39.0,33.48522752140567
2020-02-24,49.94,62.80714480814086
2020-02-25,46.06,41.25900444530919
2020-02-26,92.12,84.4664687965763
2020-02-27,28.75,24.311168963253287
2020-02-28,114.56,76.42682193499039
2020-02-29,14.77,12.633390792644843
2020-03-01,83.96,80.65387844780582
2020-03-02,21.39,22.582267351511458
2020-03-03,56.82,58.31003762129432
2020-03-04,22.24,22.349500816897987
2020-03-05,135.98,118.97034079138274
2020-03-06,38.69,43.98633326914179
2020-03-07,48.22,43.415273859459234
2020-03-08,46.01,39.72505780069247
2020-03-09,18.35,29.95100437948727
2020-03-10,16.69,10.73431106312649
2020-03-11,29.59,32.859779594038834
2020-03-12,25.59,32.441498580878175
2020-03-13,22.99,20.75454276085116
2020-03-14,22.93,30.545575117151593
2020-03-15,55.99,61.090242576512495
2020-03-16,108.09,103.6728297362454
2020-03-17,41.75,40.04515612132132
2020-03-18,31.92,22.431122097317257
2020-03-19,67.27,56.7120939359721
2020-03-20,41.79,47.40483755291483
2020-03-21,36.76,53.05654328671594
2020-03-22,74.8,68.3855838517122
2020-03-23,46.49,42.58004809783293
2020-03-24,36.92,41.169860373512456
2020-03-25,13.67,13.120888156486174
2020-03-26,58.68,62.13926957335037
2020-03-27,46.9,62.918357647133945
2020-03-28,61.95,50.35560797611065
2020-03-29,58.61,58.25427639831629
2020-03-30,17.59,24.681804782752003
2020-03-31,29.8,30.5139646298787
2020-04-01,53.46,53.45951331493728
2020-04-02,53.12,59.50353588231716
2020-04-03,11.91,8.568443234660837
2020-04-04,27.35,43.71069374917477
2020-04-05,81.14,85.64169876137393
2020-04-06,21.88,23.73429748235098
2020-04-07,46.3,48.96908151418486
2020-04-08,34.57,34.28973759182774
2020-04-09,24.53,28.744995598909604
2020-04-10,21.2,19.49347300431471
2020-04-11,16.87,27.986919347178564
2020-04-12,27.93,40.34639248418659
2020-04-13,69.48,72.44185857876371
2020-04-14,33.27,36.32574828954041
2020-04-15,16.6,10.97242890260219
2020-04-16,44.9,40.860132674496725
2020-04-17,58.03,54.77758589370044
2020-04-18,44.5,42.376814669759895
2020-04-19,42.54,44.188184963934404
2020-04-20,32.56,35.84949403741488
2020-04-21,29.6,24.061542358602203
2020-04-22,22.97,31.21430352291982
2020-04-23,53.9,54.81770142728024
2020-04-24,16.05,12.922767058330079
2020-04-25,18.86,9.727266170279231
2020-04-26,17.07,26.158474163283806
2020-04-27,28.87,26.368465232124045
2020-04-28,63.64,56.0879003134601
2020-04-29,18.52,23.569475920451655
2020-04-30,26.31,26.567641681844204
2020-05-01,50.57,52.80635305478879
2020-05-02,28.35,24.22647998363611
2020-05-03,40.07,44.719961827340526
2020-05-04,29.03,41.8930042223111
2020-05-05,54.78,67.53381360287204
2020-05-06,21.62,25.469604774839553
2020-05-07,55.33,59.11286546300832
2020-05-08,50.45,56.70119046784407
2020-05-09,16.0,26.71351865822948
2020-05-10,12.34,8.459190096050003
2020-05-11,12.87,8.984338834545415
2020-05-12,45.69,55.05777073034468
2020-05-13,35.08,35.54734829878736
2020-05-14,77.1,74.75220290243297
2020-05-15,19.87,25.808100227072035
2020-05-16,15.25,13.73901941808781
2020-05-17,11.4,8.385600605909719
2020-05-18,77.58,69.33916480946121
2020-05-19,45.3,43.51828953529499
2020-05-20,37.34,42.84700103745693
2020-05-21,14.16,15.968937760564348
2020-05-22,38.89,26.086680976491643
2020-05-23,21.2,20.92816990472018
2020-05-24,11.19,9.937442464185978
2020-05-25,109.17,100.69945504601196
2020-05-26,78.39,72.08197070697139
2020-05-27,22.41,21.23947320055989
2020-05-28,27.87,28.735495144837817
2020-05-29,92.3,95.52266482241376
2020-05-30,26.45,20.724045351953233
2020-05-31,154.85,117.67931193235572
2020-06-01,108.0,54.80589640331708
2020-06-02,46.76,51.599537954364756
2020-06-03,72.34,82.31807720484417
2020-06-04,12.34,9.586666942576239
2020-06-05,23.0,27.078287018899502
2020-06-06,96.95,81.01071514429694
2020-06-07,12.25,14.152789498106824
2020-06-08,58.08,59.674855451910865
2020-06-09,12.77,11.611415949372432
2020-06-10,70.05,57.31428828582359
2020-06-11,84.1,56.602376154472815
2020-06-12,42.0,44.21940345179687
2020-06-13,11.2,10.46770899350821
2020-06-14,13.62,33.88103858754728
2020-06-15,71.66,80.22077918134758
2020-06-16,23.83,27.128848833588474
2020-06-17,18.63,12.271878216958205
2020-06-18,24.52,29.67477357484168
2020-06-19,61.39,74.31503760989378
2020-06-20,26.33,30.335044673324013
2020-06-21,33.66,43.78748895526497
2020-06-22,20.93,23.267269379873124
2020-06-23,21.12,20.536184847697804
2020-06-24,59.05,64.16266883888864
2020-06-25,22.11,29.179110248790455
2020-06-26,112.71,112.47174295533691
2020-06-27,97.55,99.56272899068699
2020-06-28,91.88,95.52953186222183
2020-06-29,10.42,12.718534478259928
2020-06-30,22.56,20.752374238112225
