Date,truth,pred
2020-04-06,25.37,18.338928714904515
2020-04-07,28.84,20.426226204096878
2020-04-08,18.74,16.937154812983902
2020-04-09,18.39,10.50006831434493
2020-04-10,41.58,39.1343762904743
2020-04-11,31.4,35.66794558881539
2020-04-12,37.73,40.709188300770634
2020-04-13,18.62,14.03078096114379
2020-04-14,26.15,15.628680978105862
2020-04-15,64.91,47.457365983278585
2020-04-16,17.69,18.4098840167861
2020-04-17,71.79,51.111996218044496
2020-04-18,49.41,51.31788322155622
2020-04-19,62.87,48.45932577168542
2020-04-20,69.07,56.865381269469296
2020-04-21,20.07,17.823818755376816
2020-04-22,23.25,17.117224983425363
2020-04-23,24.16,22.577417071222342
2020-04-24,67.72,99.23517265755193
2020-04-25,46.71,53.06280972227194
2020-04-26,59.82,61.483413606242465
2020-04-27,19.36,18.625386661322263
2020-04-28,15.99,16.2488148697355
2020-04-29,45.35,42.08958531710427
2020-04-30,38.1,43.9584263557987
2020-05-01,11.74,13.16333864936032
2020-05-02,24.83,18.00287109843675
2020-05-03,29.88,24.393242679163954
2020-05-04,67.99,57.64789748679041
2020-05-05,6.82,14.933749321418652
2020-05-06,20.94,17.308490287797937
2020-05-07,14.26,17.028753946038094
2020-05-08,13.62,14.918569342103766
2020-05-09,13.58,15.245563884428108
2020-05-10,53.08,54.9241446636387
2020-05-11,66.64,66.31360765412231
2020-05-12,56.51,49.97226724943577
2020-05-13,11.95,14.052132065354723
2020-05-14,10.46,13.315536466287949
2020-05-15,50.07,60.43591887017756
2020-05-16,17.28,21.674524027878814
2020-05-17,62.65,61.757358092158924
2020-05-18,16.76,22.451446523456035
2020-05-19,19.24,18.937013657622554
2020-05-20,35.12,57.70928076373832
2020-05-21,10.84,11.81089303531153
2020-05-22,25.3,20.192458265032712
2020-05-23,8.72,22.6029124852459
2020-05-24,30.75,41.827405576485255
2020-05-25,20.54,22.973430296620208
2020-05-26,46.11,49.52991058350503
2020-05-27,16.35,18.1236183042869
2020-05-28,49.9,50.64652741000085
2020-05-29,58.24,54.14712066324314
2020-05-30,14.02,17.899624186263647
2020-05-31,143.85,76.34195536299009
2020-06-01,51.19,51.06892245510806
2020-06-02,56.29,61.06810956315806
2020-06-03,8.13,14.488722974343741
2020-06-04,18.12,25.929148372957798
2020-06-05,20.02,16.938468649143744
2020-06-06,15.58,15.07277455838869
2020-06-07,23.38,34.62906212758097
2020-06-08,21.02,19.315571010148616
2020-06-09,16.06,15.1799385223202
2020-06-10,11.06,10.454161760418415
2020-06-11,62.48,44.95710943925642
2020-06-12,15.42,15.858206465918379
2020-06-13,52.44,40.42428022988358
