Date,truth,pred
2018-10-01,17.15,18.43519081532844
2018-10-02,45.0,39.986869083967875
2018-10-04,35.28,37.05510502667997
2018-10-05,65.23,89.45426912800717
2018-10-06,67.26,64.71750093389434
2018-10-07,17.54,12.545684304654188
2018-10-08,39.42,45.86382418876376
2018-10-09,56.22,47.430442718219865
2018-10-10,25.7,35.02556574103178
2018-10-11,45.77,31.592447074352876
2018-10-12,39.3,36.288607145214485
2018-10-13,57.31,54.40188302851725
2018-10-14,17.59,16.81007356682496
2018-10-15,27.57,29.843825794954753
2018-10-16,30.35,36.04643799162232
2018-10-17,14.61,6.2263519007196635
2018-10-18,45.63,52.87994345151952
2018-10-19,115.8,109.34397548277599
2018-10-20,16.62,3.5007749995758246
2018-10-21,62.88,62.49217072609139
2018-10-22,63.4,79.9124894305998
2018-10-23,42.25,46.187099248377166
2018-10-24,75.65,81.97912771640758
2018-10-25,44.31,60.41483483553962
2018-10-26,23.64,22.163599818841092
2018-10-27,29.39,31.12562019463995
2018-10-28,65.64,62.89657302125721
2018-10-29,42.17,38.92238464154272
2018-10-30,16.38,4.43786804093574
2018-10-31,17.8,17.254799084906416
2018-11-01,66.22,72.40482042859365
2018-11-02,10.56,15.31354366766805
2018-11-03,25.96,38.23200926065276
2018-11-04,59.54,55.63036262372654
2018-11-05,30.06,16.73029314620554
2018-11-06,11.88,6.892288176601589
2018-11-07,30.94,32.312601202874944
2018-11-08,61.5,59.047244953759446
2018-11-09,29.76,36.298452821269755
2018-11-10,62.29,76.20116825242903
2018-11-11,71.26,43.22085632562267
2018-11-12,13.1,8.29551431970247
2018-11-13,29.43,21.017486522003104
2018-11-14,33.25,29.784483938469137
2018-11-15,50.73,43.832855300378746
2018-11-16,8.93,4.142639734572267
2018-11-17,7.8,2.6576427420657254
2018-11-18,30.85,33.43376932012211
2018-11-19,117.2,98.9935730210161
2018-11-30,58.04,43.47351014215418
2018-12-04,22.21,16.15386201726845
2018-12-05,27.42,30.770516048687462
2018-12-06,199.94,131.41115038781751
2018-12-08,22.82,24.678800341763306
2018-12-09,68.7,63.674361149864296
2018-12-10,40.03,48.05211362278425
2018-12-11,9.08,0.42713078569547136
2018-12-12,56.08,56.0948737502887
2018-12-13,30.48,38.02570639792698
2018-12-14,33.79,48.65582006088866
2018-12-15,55.97,45.991581458337336
2018-12-16,28.69,26.595219950305854
2018-12-17,18.14,21.87759997976046
2018-12-18,15.11,10.072907571919245
2018-12-19,19.08,19.80191688008547
2018-12-22,15.91,22.040322949952568
2018-12-26,2.0,26.48328626186977
2018-12-27,21.06,24.221574620914232
2018-12-28,20.4,30.91089394367905
2018-12-29,58.03,50.86908406298268
2018-12-30,24.38,24.96442760265701
2018-12-31,55.43,60.17046828533772
2019-01-01,66.72,55.627936636115635
2019-01-02,42.34,39.70985016007871
2019-01-03,33.68,32.42749468717194
2019-01-04,42.98,40.83172391447289
2019-01-05,36.57,24.595765780732805
2019-01-06,27.57,25.916319363735504
2019-01-07,26.46,40.67388449988986
2019-01-08,33.54,35.289626917660556
2019-01-09,44.65,44.102894605184474
2019-01-10,31.98,38.107625900005424
2019-01-11,63.19,56.13091077524865
2019-01-12,21.84,23.32037612356408
2019-01-13,20.02,15.427900046425066
2019-01-14,39.17,36.738003597140434
2019-01-17,88.29,82.68585660199676
2019-01-18,37.09,46.09899275709225
2019-01-19,59.6,74.86001216525185
2019-01-20,36.33,39.10237064952678
2019-01-21,69.73,54.543698399925916
2019-01-22,48.21,48.64348359137249
2019-01-23,23.42,24.93883180256671
2019-01-24,32.22,33.96360130843309
2019-01-25,21.89,16.948769146253568
2019-01-26,8.42,7.767894199173391
2019-01-27,31.59,42.61266655316268
2019-01-28,69.68,75.48966412805073
2019-01-29,37.09,35.64545041253339
2019-01-30,23.36,25.725090278493866
2019-01-31,15.68,21.545494555651153
2019-02-01,33.04,38.13442064513218
2019-02-02,24.41,27.21737737199333
2019-02-03,65.86,67.35308955966474
2019-02-04,53.08,60.42933969435795
2019-02-05,33.26,28.077175844317097
2019-02-06,132.69,140.613463959631
2019-02-07,85.14,91.62908193634988
2019-02-08,8.55,3.5234510490526105
2019-02-09,57.56,57.28126932232607
2019-02-11,29.12,33.21213564615837
2019-02-12,40.74,46.25320659983606
2019-02-13,83.31,81.1627979433616
2019-02-14,119.16,124.04777511851918
2019-02-15,69.58,66.00170577438979
2019-02-16,37.71,37.93241997710477
2019-02-17,7.02,3.04759515507207
2019-02-18,31.24,26.878590706706973
2019-02-19,22.27,32.683605216620634
2019-02-20,32.75,31.442420546436963
2019-02-21,40.35,37.31246669675815
2019-02-22,32.39,33.761872653482655
2019-02-23,62.3,56.91919477556149
2019-02-24,31.25,43.51583489993245
2019-02-25,50.36,44.208157312187225
2019-03-01,50.96,40.821417000800935
2019-03-02,15.09,19.38152792255903
2019-03-03,74.57,72.59393796858306
2019-03-04,37.35,50.688387988537514
2019-03-05,14.75,11.734826337881284
2019-03-06,48.18,52.725525790509735
2019-03-07,103.95,110.45643101767484
2019-03-08,50.27,48.03646498103781
2019-03-09,28.03,31.538969772721117
2019-03-10,29.21,45.386371339188415
2019-03-11,33.91,38.318082527822945
2019-03-12,45.26,45.55788912184925
2019-03-13,33.44,33.455253133199086
2019-03-14,13.71,14.143478375682761
2019-03-15,28.84,33.77882812027764
2019-03-16,34.32,30.739369388401165
2019-03-17,30.66,44.34037005733294
2019-03-18,29.71,41.000049614023965
2019-03-19,37.61,36.52941237361314
2019-03-20,52.48,50.943508734214916
2019-03-21,27.05,27.171682836438812
